,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
1,0.2854166666666666,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
9,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-06-24,48.68,1447.0,2298.0,1957.0,1064.0,54.72,1950.0,2690.0,1704.0,1356.0,0
10,0.0,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-24,44.88,1415.0,1857.0,9806.0,1236.0,54.72,1950.0,2690.0,1704.0,1356.0,0
13,0.0,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-24,41.13,1663.0,3073.0,1972.0,4704.0,54.72,1950.0,2690.0,1704.0,1356.0,0
19,0.0,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-06-24,56.51,2033.0,3131.0,2744.0,1095.0,54.72,1950.0,2690.0,1704.0,1356.0,0
28,-0.1638888888888889,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-24,44.88,1415.0,1857.0,9806.0,1236.0,54.72,1950.0,2690.0,1704.0,1356.0,0
34,0.0166666666666666,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-06-24,56.51,2033.0,3131.0,2744.0,1095.0,54.72,1950.0,2690.0,1704.0,1356.0,0
43,-0.3125,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-06-24,42.51,1675.0,2183.0,3012.0,1400.0,54.72,1950.0,2690.0,1704.0,1356.0,0
49,0.3238095238095238,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-24,60.45,3136.0,5428.0,3383.0,2405.0,54.72,1950.0,2690.0,1704.0,1356.0,True
62,0.5,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
73,0.1363636363636363,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
74,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
78,0.0,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-06-24,60.86,2526.0,5563.0,4055.0,1745.0,54.72,1950.0,2690.0,1704.0,1356.0,False
79,-0.15,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-06-24,49.01,2004.0,3333.0,7335.0,1459.0,54.72,1950.0,2690.0,1704.0,1356.0,0
83,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
91,-0.15,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-06-24,49.01,2004.0,3333.0,7335.0,1459.0,54.72,1950.0,2690.0,1704.0,1356.0,0
94,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-24,47.55,2364.0,4377.0,2666.0,1595.0,54.72,1950.0,2690.0,1704.0,1356.0,0
95,-0.0375,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-24,43.64,3024.0,2608.0,2644.0,1152.0,54.72,1950.0,2690.0,1704.0,1356.0,0
98,0.0,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-24,47.55,2364.0,4377.0,2666.0,1595.0,54.72,1950.0,2690.0,1704.0,1356.0,0
100,0.0,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-06-24,52.85,2725.0,4738.0,3331.0,1858.0,54.72,1950.0,2690.0,1704.0,1356.0,0
102,0.25,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-24,60.45,3136.0,5428.0,3383.0,2405.0,54.72,1950.0,2690.0,1704.0,1356.0,True
103,0.0,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-06-24,69.83,2756.0,3932.0,2837.0,1368.0,54.72,1950.0,2690.0,1704.0,1356.0,0
108,0.1833333333333333,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-06-24,52.85,2725.0,4738.0,3331.0,1858.0,54.72,1950.0,2690.0,1704.0,1356.0,0
111,0.0852272727272727,0.4581673691536295,Iowa,6.2,23.0,17.5,50.2,90.6,4.1,6.3,28.6,2021-06-24,51.04,1812.0,2222.0,1600.0,991.0,54.72,1950.0,2690.0,1704.0,1356.0,0
117,-0.1,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-06-24,42.51,1675.0,2183.0,3012.0,1400.0,54.72,1950.0,2690.0,1704.0,1356.0,0
118,0.0681818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
119,-0.15625,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
120,0.59375,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-06-24,58.59,2518.0,4283.0,3622.0,1448.0,54.72,1950.0,2690.0,1704.0,1356.0,0
121,0.110515873015873,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-06-24,57.97,2509.0,5331.0,3839.0,1560.0,54.72,1950.0,2690.0,1704.0,1356.0,False
126,0.3181818181818182,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-06-24,69.83,2756.0,3932.0,2837.0,1368.0,54.72,1950.0,2690.0,1704.0,1356.0,0
132,0.1363636363636363,0.5551849015171975,New Mexico,5.8,22.7,18.0,50.5,81.9,2.6,49.3,27.3,2021-06-24,61.14,3305.0,4462.0,5012.0,1690.0,54.72,1950.0,2690.0,1704.0,1356.0,True
133,0.0,0.3278259157710337,North Dakota,7.1,23.6,15.7,48.8,86.9,3.4,4.1,30.0,2021-06-24,43.55,1122.0,1735.0,1105.0,798.0,54.72,1950.0,2690.0,1704.0,1356.0,0
137,0.244140625,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-06-24,42.51,1675.0,2183.0,3012.0,1400.0,54.72,1950.0,2690.0,1704.0,1356.0,0
138,0.5,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
139,0.0681818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
143,0.6,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
146,0.5,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-24,43.64,3024.0,2608.0,2644.0,1152.0,54.72,1950.0,2690.0,1704.0,1356.0,0
148,0.15625,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
149,-0.025,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
151,0.0,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-06-24,52.85,2725.0,4738.0,3331.0,1858.0,54.72,1950.0,2690.0,1704.0,1356.0,0
153,0.6,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
154,0.0613636363636363,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
155,0.0,0.5693831949230015,Colorado,5.8,21.9,14.6,49.6,86.9,4.6,21.8,40.9,2021-06-24,57.34,2746.0,4292.0,2829.0,1539.0,54.72,1950.0,2690.0,1704.0,1356.0,0
156,1.0,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-06-24,51.04,1828.0,3328.0,1793.0,793.0,54.72,1950.0,2690.0,1704.0,1356.0,0
157,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
162,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
165,0.3238095238095238,0.440733912504179,South Carolina,5.7,21.6,18.2,51.6,68.6,27.0,6.0,28.1,2021-06-24,43.64,3024.0,2608.0,2644.0,1152.0,54.72,1950.0,2690.0,1704.0,1356.0,0
166,0.3666666666666667,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
171,0.6,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-25,60.65,2875.0,4450.0,3231.0,2005.0,54.83,1883.0,2557.0,1641.0,1362.0,True
175,0.1363636363636363,0.5374834772159505,New Hampshire,4.7,18.8,18.7,50.4,93.1,1.8,4.0,37.0,2021-06-25,61.8,1756.0,2762.0,2751.0,2452.0,54.83,1883.0,2557.0,1641.0,1362.0,0
183,0.25,0.4160281990795189,Montana,5.7,21.4,19.3,49.7,88.9,0.6,4.1,32.0,2021-06-24,47.3,1263.0,2173.0,2271.0,935.0,54.72,1950.0,2690.0,1704.0,1356.0,0
185,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
186,0.8,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-06-25,69.92,2620.0,4419.0,2782.0,1296.0,54.83,1883.0,2557.0,1641.0,1362.0,0
187,0.3125,0.5031906326653399,Wisconsin,5.7,21.8,17.5,50.2,87.0,6.7,7.1,30.1,2021-06-24,53.19,1949.0,2676.0,2700.0,1811.0,54.72,1950.0,2690.0,1704.0,1356.0,0
190,0.3,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-24,47.55,2364.0,4377.0,2666.0,1595.0,54.72,1950.0,2690.0,1704.0,1356.0,0
192,0.1,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-06-24,49.01,2004.0,3333.0,7335.0,1459.0,54.72,1950.0,2690.0,1704.0,1356.0,0
194,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
197,1.0,0.3930639487814836,Utah,7.7,29.0,11.4,49.6,90.6,1.5,14.4,34.0,2021-06-25,48.13,2207.0,4252.0,2163.0,1482.0,54.83,1883.0,2557.0,1641.0,1362.0,0
202,0.3415584415584416,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-24,41.13,1663.0,3073.0,1972.0,4704.0,54.72,1950.0,2690.0,1704.0,1356.0,0
203,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
204,-0.5,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
207,0.125,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-25,59.43,2912.0,4652.0,3019.0,1987.0,54.83,1883.0,2557.0,1641.0,1362.0,False
209,0.0,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-25,60.58,2961.0,5390.0,3303.0,2371.0,54.83,1883.0,2557.0,1641.0,1362.0,True
211,1.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
214,0.2916666666666667,0.4160281990795189,Montana,5.7,21.4,19.3,49.7,88.9,0.6,4.1,32.0,2021-06-24,47.3,1263.0,2173.0,2271.0,935.0,54.72,1950.0,2690.0,1704.0,1356.0,0
218,-0.075,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-06-24,48.68,1447.0,2298.0,1957.0,1064.0,54.72,1950.0,2690.0,1704.0,1356.0,0
220,0.269047619047619,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-06-25,47.96,1735.0,3119.0,1758.0,1007.0,54.83,1883.0,2557.0,1641.0,1362.0,False
221,0.2666666666666666,0.5467040458200397,Maine,4.7,18.5,21.2,51.0,94.4,1.7,1.8,31.8,2021-06-25,66.04,2104.0,4449.0,2479.0,1212.0,54.83,1883.0,2557.0,1641.0,1362.0,0
222,0.25,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-06-24,47.89,1873.0,2695.0,1783.0,1074.0,54.72,1950.0,2690.0,1704.0,1356.0,False
226,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
228,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-25,60.65,2875.0,4450.0,3231.0,2005.0,54.83,1883.0,2557.0,1641.0,1362.0,True
230,-0.0625,0.5058920525934906,Pennsylvania,5.5,20.6,18.7,51.0,81.6,12.0,7.8,31.4,2021-06-24,62.22,2633.0,4413.0,2216.0,1706.0,54.72,1950.0,2690.0,1704.0,1356.0,0
232,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-25,60.65,2875.0,4450.0,3231.0,2005.0,54.83,1883.0,2557.0,1641.0,1362.0,True
236,0.9765625,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-25,47.66,2222.0,4323.0,2593.0,1551.0,54.83,1883.0,2557.0,1641.0,1362.0,0
237,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
238,0.0,0.5693831949230015,Colorado,5.8,21.9,14.6,49.6,86.9,4.6,21.8,40.9,2021-06-25,57.43,2763.0,3875.0,2685.0,1339.0,54.83,1883.0,2557.0,1641.0,1362.0,0
241,0.0,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-06-24,57.97,2509.0,5331.0,3839.0,1560.0,54.72,1950.0,2690.0,1704.0,1356.0,False
242,0.0,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-25,60.58,2961.0,5390.0,3303.0,2371.0,54.83,1883.0,2557.0,1641.0,1362.0,True
245,0.7749999999999999,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-25,59.43,2912.0,4652.0,3019.0,1987.0,54.83,1883.0,2557.0,1641.0,1362.0,False
258,-0.3125,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-25,47.66,2222.0,4323.0,2593.0,1551.0,54.83,1883.0,2557.0,1641.0,1362.0,0
261,-0.2,0.3679989709973703,Kentucky,6.1,22.4,16.8,50.7,87.5,8.5,3.9,24.2,2021-06-25,49.1,1955.0,4112.0,2202.0,1178.0,54.83,1883.0,2557.0,1641.0,1362.0,True
13,0.4125,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
21,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
38,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
50,0.0,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-05-23,38.69,3845.0,3440.0,990.0,5988.0,51.05,5238.0,5671.0,3452.0,2939.0,0
53,-0.3,0.5467040458200397,Maine,4.7,18.5,21.2,51.0,94.4,1.7,1.8,31.8,2021-05-23,61.38,7905.0,7752.0,5995.0,3117.0,51.05,5238.0,5671.0,3452.0,2939.0,0
69,0.625,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
92,0.1363636363636363,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
94,0.0249999999999999,0.3679989709973703,Kentucky,6.1,22.4,16.8,50.7,87.5,8.5,3.9,24.2,2021-05-23,45.16,3864.0,3900.0,2946.0,2035.0,51.05,5238.0,5671.0,3452.0,2939.0,False
95,0.0,0.551546869993999,Virginia,5.9,21.8,15.9,50.8,69.4,19.9,9.8,38.8,2021-05-23,53.51,6968.0,6501.0,4980.0,3662.0,51.05,5238.0,5671.0,3452.0,2939.0,0
100,0.275,0.5830715698544173,Oregon,5.4,20.5,18.2,50.4,86.7,2.2,13.4,33.7,2021-05-23,52.88,7524.0,8158.0,6677.0,4102.0,51.05,5238.0,5671.0,3452.0,2939.0,True
102,0.09375,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
104,0.1416666666666666,0.3679989709973703,Kentucky,6.1,22.4,16.8,50.7,87.5,8.5,3.9,24.2,2021-05-23,45.16,3864.0,3900.0,2946.0,2035.0,51.05,5238.0,5671.0,3452.0,2939.0,False
107,-0.1,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
108,-0.3254464285714286,0.3578756672201685,Arkansas,6.2,23.2,17.4,50.9,79.0,15.7,7.8,23.0,2021-05-23,38.64,2766.0,3164.0,2460.0,1607.0,51.05,5238.0,5671.0,3452.0,2939.0,False
112,0.4375,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
114,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
116,-0.1,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-05-23,44.63,4151.0,4420.0,3139.0,2170.0,51.05,5238.0,5671.0,3452.0,2939.0,True
119,0.0,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-05-23,53.05,6619.0,6632.0,4183.0,2401.0,51.05,5238.0,5671.0,3452.0,2939.0,0
120,0.625,0.4180495199255704,Indiana,6.2,23.3,16.1,50.7,84.8,9.9,7.3,26.5,2021-05-23,40.7,4529.0,4997.0,3143.0,2146.0,51.05,5238.0,5671.0,3452.0,2939.0,0
121,0.21640625,0.4830524533785844,Florida,5.3,19.7,20.9,51.1,77.3,16.9,26.4,29.9,2021-05-23,47.63,5393.0,5971.0,3754.0,3028.0,51.05,5238.0,5671.0,3452.0,2939.0,0
124,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
126,0.0,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-23,54.48,8410.0,8372.0,6647.0,4261.0,51.05,5238.0,5671.0,3452.0,2939.0,False
127,0.1681818181818181,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
128,0.13125,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-05-23,54.48,8410.0,8372.0,6647.0,4261.0,51.05,5238.0,5671.0,3452.0,2939.0,False
131,0.0,0.4592330235229728,Ohio,5.9,22.1,17.5,51.0,81.7,13.1,4.0,28.3,2021-05-23,44.63,4151.0,4420.0,3139.0,2170.0,51.05,5238.0,5671.0,3452.0,2939.0,True
135,0.25,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
140,0.0,0.6702904704709234,Maryland,6.0,22.1,15.9,51.6,58.5,31.1,10.6,40.2,2021-05-23,55.31,6672.0,8065.0,6313.0,3958.0,51.05,5238.0,5671.0,3452.0,2939.0,True
141,0.1363636363636363,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-23,58.34,6686.0,6828.0,4969.0,3261.0,51.05,5238.0,5671.0,3452.0,2939.0,0
142,0.0,0.3930639487814836,Utah,7.7,29.0,11.4,49.6,90.6,1.5,14.4,34.0,2021-05-23,44.11,5834.0,5342.0,2151.0,2478.0,51.05,5238.0,5671.0,3452.0,2939.0,0
144,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
145,1.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
146,0.080965909090909,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-05-23,58.34,6686.0,6828.0,4969.0,3261.0,51.05,5238.0,5671.0,3452.0,2939.0,0
148,0.4875,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-05-23,47.57,5238.0,5508.0,3546.0,1782.0,51.05,5238.0,5671.0,3452.0,2939.0,0
150,0.5,0.6711554954014815,Massachusetts,5.2,19.6,17.0,51.5,80.6,9.0,12.4,43.7,2021-05-23,64.62,8288.0,9030.0,6646.0,5546.0,51.05,5238.0,5671.0,3452.0,2939.0,0
152,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-05-23,45.84,2927.0,3174.0,2642.0,1219.0,51.05,5238.0,5671.0,3452.0,2939.0,0
154,0.5,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
160,1.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
161,0.375,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-05-23,45.84,2927.0,3174.0,2642.0,1219.0,51.05,5238.0,5671.0,3452.0,2939.0,0
165,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
170,0.45,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
173,0.0,0.5015683167912931,Arizona,5.9,22.5,18.0,50.3,82.6,5.2,31.7,29.5,2021-05-23,45.11,3981.0,4430.0,2970.0,2255.0,51.05,5238.0,5671.0,3452.0,2939.0,0
175,0.096590909090909,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-05-23,53.95,6783.0,6565.0,5536.0,3006.0,51.05,5238.0,5671.0,3452.0,2939.0,True
177,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
178,-0.1125,0.6059935988395926,Rhode Island,5.1,19.3,17.7,51.3,83.6,8.5,16.3,34.2,2021-05-23,59.07,7909.0,10133.0,5065.0,2946.0,51.05,5238.0,5671.0,3452.0,2939.0,0
180,0.2857142857142857,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-05-23,55.22,6989.0,7250.0,4387.0,3938.0,51.05,5238.0,5671.0,3452.0,2939.0,False
