,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
186,0.3565833333333333,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
187,0.3125,0.4716927876322047,Texas,6.9,25.5,12.9,50.3,78.7,12.9,39.7,29.9,2021-06-27,47.89,2480.0,3955.0,2084.0,1570.0,54.93,1847.0,2370.0,1486.0,1452.0,0
195,0.3333333333333333,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-28,61.01,3087.0,4562.0,2665.0,2124.0,55.02,1844.0,2219.0,1418.0,1506.0,True
198,0.5,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-27,41.45,1779.0,3114.0,5208.0,1200.0,54.93,1847.0,2370.0,1486.0,1452.0,0
201,0.125,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
202,0.3125,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-27,45.12,1272.0,1963.0,9795.0,1192.0,54.93,1847.0,2370.0,1486.0,1452.0,0
203,0.5208333333333333,0.512231173400438,Nevada,6.0,22.5,16.1,49.8,73.9,10.3,29.2,24.7,2021-06-27,49.11,2799.0,3067.0,2853.0,1702.0,54.93,1847.0,2370.0,1486.0,1452.0,0
209,0.0,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-27,59.71,3469.0,4329.0,2257.0,1780.0,54.93,1847.0,2370.0,1486.0,1452.0,False
211,0.1772727272727272,0.5807128358679484,New Jersey,5.8,21.8,16.6,51.1,71.9,15.1,20.9,39.7,2021-06-27,62.54,3143.0,1723.0,2220.0,1684.0,54.93,1847.0,2370.0,1486.0,1452.0,0
212,0.0726190476190476,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-27,60.95,3013.0,3892.0,2785.0,1905.0,54.93,1847.0,2370.0,1486.0,1452.0,False
213,-0.1,0.5865904373280693,Illinois,5.9,22.2,16.1,50.9,76.8,14.6,17.5,34.7,2021-06-27,59.06,3029.0,4382.0,2768.0,1337.0,54.93,1847.0,2370.0,1486.0,1452.0,0
214,0.0,0.4216417935559855,Missouri,6.0,22.3,17.3,50.9,82.9,11.8,4.4,29.2,2021-06-27,44.65,1538.0,3991.0,1965.0,1165.0,54.93,1847.0,2370.0,1486.0,1452.0,0
217,0.1,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-28,61.08,3077.0,3779.0,2518.0,1913.0,55.02,1844.0,2219.0,1418.0,1506.0,False
220,0.0,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-28,61.08,3077.0,3779.0,2518.0,1913.0,55.02,1844.0,2219.0,1418.0,1506.0,False
226,0.0,0.5141355934440947,Michigan,5.7,21.5,17.7,50.7,79.2,14.1,5.3,29.1,2021-06-27,51.21,1629.0,2864.0,1629.0,1368.0,54.93,1847.0,2370.0,1486.0,1452.0,0
